ra,dec,Source_Name,Fx(uJy),SIMBAD_Name,Final_Type
128.9791667,-43.185, 0834-430       ,30,Ginga 0834-430,HMXB
135.52875,-40.55472222, 0900-403       ,2,V* GP Vel,HMXB
152.4416667,-58.29222222,J1008-57        ,1200,GRO J1008-571,HMXB
156.4858333,-57.81166667, 1024.0-5732    ,1, 1024.0-5732    ,Unknown
157.59375,-57.0775, 1036-565       ,3.3,HD  91188,Be*
159.3966667,-56.79972222,J1037.5-5647    ,0.17,LS 1698,HMXB
162.5329167,-59.88777778, 1048.1-5937    ,0.1,2E  2336,HMXB
170.2383333,-61.91611111, 1118-615       ,0.1,WRAY 15-793,HMXB
170.3133333,-60.62333333, 1119-603       ,10,V* V779 Cen,HMXB
177.0004167,-62.20694444, 1145-619       ,4,HD 102567,Be*
176.8691667,-61.95388889, 1145.1-6141    ,4,1E 1145.1-6141,HMXB
186.6566667,-62.77027778, 1223-624       ,9,V* BP Cru,HMXB
190.5070833,-60.20166667, 1239-599       ,3,1H 1238-599,HMXB
191.8958333,-60.64333333, 1244-604       ,24,1A 1244-60,HMXB
192.4,-59.12166667, 1246-588       ,24,4U 1246-58,LMXB
190.71,-63.05888889, 1249-637       ,2.2,HD 110432,Be*
189.8125,-75.37, 1253-761       ,0.6, 1253-761       ,Unknown
193.6541667,-57.16833333, 1255-567       ,0.8,* mu.02 Cru,Be*
195.3216667,-61.60194444, 1258-613       ,0.3,V* V850 Cen,HMXB
201.1095833,-62.01472222,J1324.4-6200    ,0.4,SAX J1324.4-6200,HMXB
215.30375,-62.69833333, 1417-624       ,2,4U 1416-62,HMXB
223.2054167,-59.82166667,J1452.8-5949    ,0.04,SAX J1452.8-5949,HMXB
235.5970833,-52.38611111, 1538-522       ,3,V* QV Nor,HMXB
239.455,-54.41444444, 1553-542       ,27,2S 1553-542,HMXB
238.5916667,-55.32888889, 1555-552       ,1.7, 1555-552       ,Unknown
255.1995833,-41.67305556, 1657-415       ,4,NAME OAO 1657-41,HMXB
255.98625,-37.84416667, 1700-377       ,11,HD 153919,HMXB
255.0220833,-41.96222222,J170006-4157    ,0.4,2XMMi J170004.2-415804,HMXB
261.4791667,-36.41166667, 1722-363       ,0.2, 1722-363       ,Unknown
264.7208333,-30.26,J1739-302       ,136,OGLE BLG-ECL-52438,EB*
264.8754167,-29.70194444,J1739.5-2942    ,           ,RX J1739.4-2942,LMXB
266.1891667,-27.22972222,J1744.7-2713    ,0.06,HD 161103,Be*
267.2920833,-27.42111111,J1749.2-2725    ,1.36,2XMM J174912.3-272537,HMXB
267.3,-26.64722222,J1750-27        ,27,GRO J1750-27,HMXB
272.675,-10.86666667, 1807-10        ,2,4U 1807-10,HMXB
275.1229167,-14.57333333,J1820.5-1434    ,1,4FGL J1821.1-1422,HMXB
276.5620833,-14.84138889,J1826.2-1450    ,0.3,V* V479 Sct,HMXB
279.1204167,-7.60583333, 1833-076       ,1.6, 1833-076       ,Unknown
280.425,-5.85, 1839-06        ,1,1RXS J184135.3-055032,HMXB
280.45,-4.45, 1839-04        ,2.5,Ginga 1839-04,HMXB
281.375,0.95, 1843+009       ,0.4,2MASS J18453684+0051474,HMXB
281.85,-3.15, 1845-03        ,1, 1845-03        ,Unknown
282.07375,-2.42027778, 1845-024       ,1,4U 1850-03,HMXB
281.9208333,-4.50333333, 1845.0-0433    ,45, 1845.0-0433    ,Unknown
284.5,-2.73333333, 1855-02        ,2,2MASS J18575695-0245094,LPV*
283.925,-2.61666667,J1855-026       ,6,2MASS J18553040-0236167,HMXB
284.65,3.35,J1858+034       ,25,XTE J1858+034,HMXB
286.05,3.175, 1901+03        ,2,IRAS 19015+0300,LPV*
286.3333333,9.04166667,J1906+09        ,0.7,XTE J1906+090,HMXB
287.4079167,9.83027778, 1907+097       ,4,4U 1907+09,HMXB
287.9566667,4.98277778, 1909+048       ,2,SS 433,HMXB
293.2179167,53.87916667, 1936+541       ,0.7, 1936+541       ,Unknown
296.4083333,27.36055556,J1946+274       ,1,XTE J1946+274,HMXB
297.3983333,30.20861111, 1947+300       ,10,2MASS J19493548+3012317,HMXB
297,32,J1948+32        ,27,J1948+32        ,Unknown
298.9304167,32.10083333, 1954+319       ,1.5,4U 1954+31,HMXB
299.5904167,35.20166667, 1956+350       ,235,HD 226868,HMXB
