Date_Observed,ra,dec,SIMBAD_Name,Source_Type
29-11-2018,7.487542,32.893678,NAME AT 2016fnl,Transient
30-11-2018,53.123692,-27.735364,EIS-DEEP CDFS-1 J 1  171,Star
01-12-2018,20.786033,34.346822,4FGL J0123.1+3421,BLLac
05-12-2018,178.342971,-11.08683,QSO B1150-1048,QSO
06-12-2018,20.786033,34.346822,4FGL J0123.1+3421,BLLac
07-12-2018,53.123692,-27.735364,EIS-DEEP CDFS-1 J 1  171,Star
08-12-2018,53.25,-28.257778,0,0
11-12-2018,94.092042,-21.372722,NGC  2207,IG
12-12-2018,102.247542,-36.005306,NGC  2298,GlCl
13-12-2018,119.92425,-38.732222,2MASS J07594181-3843560,Seyfert_1
14-12-2018,139.470458,-22.35467,NGC  2835,EmG
14-12-2018,147.177558,50.49198,Mrk  124,Seyfert_1
14-12-2018,170.06235,12.99154,M  66,GinPair
15-12-2018,85.127083,69.378444,0,0
15-12-2018,9.421279,-33.716331,NAME Cartwheel,Galaxy
15-12-2018,8.406667,28.739167,AGC 102983,Galaxy
17-12-2018,335.029167,58.128056,NGC  7261,OpCl
17-12-2018,346.181158,-8.68573,Mrk  926,Seyfert_1
19-12-2018,132.825,11.8,NGC  2682,OpCl
19-12-2018,186.6565,-62.77035,V* BP Cru,HMXB
21-12-2018,139.006208,-36.627056,NGC  2818,PN
21-12-2018,346.181158,-8.68573,Mrk  926,Seyfert_1
22-12-2018,168.437083,-30.713333,UCAC4 297-066269,Pec*
22-12-2018,168.72,55.033333,RX J111450.9+550208,X
22-12-2018,192.063458,17.774011,LEDA   43234,Galaxy
23-12-2018,350.85,58.815,NAME Cas A,SNR
24-12-2018,135.528583,-40.554694,V* GP Vel,HMXB
25-12-2018,83.63308,22.0145,M   1,SNR
25-12-2018,147.37625,55.57972,Mrk   22,Seyfert_1
25-12-2018,183.887208,36.283611,SDSS J121532.93+361701.0,low-mass*
27-12-2018,147.177558,50.49198,Mrk  124,Seyfert_1
28-12-2018,53.458333,-27.966667,0,0
30-12-2018,149.386908,33.61973,[BKD2008] WR 402,PartofG
30-12-2018,7.487542,32.893722,NAME AT 2016fnl,Transient
31-12-2018,140.409708,33.360647,SDSS J092142.96+332151.3,Galaxy
01-01-2019,160.879583,24.922222,[TSK2008] 278,GroupG
03-01-2019,196.059917,-10.3396,[TSK2008] 90,GroupG
04-01-2019,172.200942,58.128331,SDSS J112848.22+580741.9,Star
04-01-2019,12.08,85.223917,Cl* NGC  188    DGV     702,Star
04-01-2019,153.722833,-15.931444,HE 1012-1540,Pec*
04-01-2019,153.722833,-15.931444,HE 1012-1540,Pec*
04-01-2019,171.114658,36.841338,BPS BS 16545-0089,Pec*
04-01-2019,171.114658,36.841338,BPS BS 16545-0089,Pec*
05-01-2019,149.191917,28.8288,UGC  5340,Galaxy
05-01-2019,53.819121,-35.22625,NGC  1374,GinPair
05-01-2019,192.270833,43.095,KISS F1246-148,EmG
06-01-2019,208.258333,42.970556,SDSS J135259.95+425729.3,QSO
08-01-2019,51.17125,34.179444,QSO J0324+3410,BLLac
08-01-2019,51.038458,34.069372,0,0
08-01-2019,51.304208,34.179372,1SWASP J032515.17+341031.6,V*
08-01-2019,51.038292,34.179372,0,0
09-01-2019,51.304375,34.289372,0,0
09-01-2019,51.038125,34.289372,0,0
09-01-2019,51.17125,34.069444,0,0
09-01-2019,51.17125,34.289444,0,0
10-01-2019,51.304042,34.069372,0,0
10-01-2019,166.11375,38.208889,Mrk  421,BLLac
14-01-2019,78.528167,-40.046556,NGC  1851,GlCl
15-01-2019,86.757871,-34.25061,NGC  2090,GinGroup
15-01-2019,18.593871,-55.39871,NGC   454,PairG
15-01-2019,90.199767,-39.918583,2MASX J06004799-3955068,EmG
17-01-2019,185.341421,30.176975,QSO B1218+304,BLLac
19-01-2019,169.2275,18.051667,[VV2006] J111654.8+180304,QSO
19-01-2019,25.36975,83.583028,GD 419,WD*
19-01-2019,74.69275,29.843583,HD  31648,Ae*
19-01-2019,84.429171,-70.57083,RX J0537.6-7033,XB
20-01-2019,148.888221,69.06529,M  81,Seyfert_2
23-01-2019,51.17125,34.179444,QSO J0324+3410,BLLac
24-01-2019,12.08,85.223917,Cl* NGC  188    DGV     702,Star
24-01-2019,194.268,-30.375053,2MASX J12570425-3022305,Seyfert_2
26-01-2019,83.633083,22.0145,M   1,SNR
29-01-2019,52.669958,-50.30961,NGC  1356,IG
29-01-2019,36.820329,33.57917,NAME NGC 925 Group,GroupG
