#ra,dec,mag
5.242297222222223,-8.201638888888889,0.18
5.919525,7.407027777777778,0.42
5.418852777777778,6.349722222222222,1.64
5.603558333333333,-1.2019166666666665,1.69
5.679311111111112,-1.9425833333333333,1.88
5.795941666666667,-9.669611111111111,2.07
5.533444444444444,-0.2990833333333333,2.2
5.5905499999999995,-5.909888888888889,2.75
4.830594444444444,6.961250000000001,3.19
5.4079500000000005,-2.3971388888888887,3.35
5.585633333333333,9.934166666666666,3.47
5.293444444444444,-6.844388888888888,3.59
4.853436111111111,5.6051111111111105,3.68
5.679333333333334,-1.9427777777777777,3.7
4.904194444444445,2.440666666666667,3.71
5.645769444444444,-2.6000555555555556,3.77
4.939533333333333,13.514583333333333,4.06
5.615091666666666,9.291416666666667,4.09
6.039719444444445,9.647361111111111,4.12
5.399122222222223,-7.807944444444444,4.13
5.513069444444445,5.948222222222222,4.2
4.843533333333333,8.90025,4.35
5.580344444444444,9.489583333333332,4.39
5.906411111111112,20.276416666666666,4.39
6.1262,14.768527777777779,4.42
6.199,14.208805555555555,4.45
5.221522222222222,2.86125,4.46
4.975805555555556,1.7140277777777777,4.47
5.653097222222223,4.121472222222222,4.5
6.000930555555556,-3.0740833333333337,4.53
5.589766666666667,-4.838333333333333,4.58
5.4472861111111115,3.095666666666667,4.59
5.532183333333333,-7.301527777777777,4.62
4.914916666666667,10.15113888888889,4.64
6.065327777777777,20.138472222222223,4.64
5.07615,15.404194444444444,4.65
4.875544444444445,14.250777777777778,4.71
5.49555,-1.0921666666666665,4.71
5.362708333333333,-0.3824722222222222,4.72
5.874011111111112,1.8551666666666669,4.76
5.648080555555555,-7.212722222222222,4.77
5.584077777777778,-6.002027777777778,4.78
5.161655555555556,15.597277777777778,4.81
5.412452777777778,1.8464444444444446,4.89
5.7079611111111115,1.4746666666666668,4.9
6.333222222222222,-2.9445,4.91
5.680755555555556,-1.1287777777777779,4.95
6.200911111111111,16.130444444444446,4.95
5.5896944444444445,-5.416055555555556,4.98
5.3805555555555555,3.5444444444444443,5.0
6.274047222222222,12.271722222222223,5.04
5.408030555555556,-0.8916666666666666,5.07
5.587908333333333,-5.389694444444445,5.13
6.0576,19.69061111111111,5.14
4.913030555555556,11.42597222222222,5.18
5.194877777777778,16.04566666666667,5.18
6.247483333333333,19.156888888888886,5.2
5.980438888888889,0.5529722222222223,5.21
5.594302777777777,-4.856083333333333,5.24
5.8000638888888885,6.4542222222222225,5.26
5.571330555555555,3.7669444444444444,5.32
4.889655555555555,2.508277777777778,5.33
4.9132750000000005,7.779166666666667,5.33
5.131352777777777,8.498583333333332,5.33
5.319786111111111,2.5959444444444446,5.34
5.544819444444444,-1.5918333333333334,5.34
6.256980555555556,16.143194444444443,5.34
4.767138888888889,11.70561111111111,5.35
5.558736111111111,-1.1560833333333334,5.36
5.856105555555555,-7.518,5.36
4.740491666666666,11.146166666666666,5.39
6.285172222222222,9.942527777777778,5.39
5.930361111111111,20.175,5.4
5.155444444444445,9.829611111111111,5.43
6.262491666666667,12.551083333333334,5.44
5.520702777777777,3.2921388888888887,5.46
5.2455694444444445,5.156138888888889,5.5
5.267816666666667,11.341361111111112,5.52
5.41715,-10.328833333333334,5.6
5.565080555555555,14.305583333333335,5.6
5.587011111111111,10.24011111111111,5.6
5.585694444444444,9.935,5.61
6.259544444444445,-0.5116666666666667,5.62
6.082877777777777,4.158666666666667,5.63
5.583613888888888,-6.009277777777778,5.67
6.082830555555556,5.419972222222222,5.67
6.334508333333333,14.651166666666667,5.67
5.358844444444444,-0.41650000000000004,5.68
5.3950861111111115,-0.15980555555555556,5.69
5.981455555555556,12.808250000000001,5.7
6.149416666666667,2.499722222222222,5.7
6.287847222222222,5.099694444444444,5.7
5.609913888888888,-6.06475,5.71
6.200372222222223,19.790583333333334,5.76
5.498547222222222,1.7892499999999998,5.77
5.3621,8.428555555555555,5.78
5.781152777777778,9.5225,5.78
4.9306,15.040305555555555,5.79
5.834077777777778,9.871222222222222,5.79
5.489916666666667,-3.4463611111111114,5.8
6.231733333333334,-3.741416666666667,5.83
6.241272222222222,17.906388888888888,5.86
5.633641666666666,7.541444444444444,5.87
5.925044444444445,-4.616499999999999,5.87
5.195930555555556,1.0370555555555556,5.88
5.188647222222222,-2.4907777777777778,5.89
5.947052777777778,11.521194444444445,5.89
5.973455555555556,1.837138888888889,5.89
5.2133666666666665,-6.057111111111111,5.9
5.030652777777778,0.7221666666666666,5.91
6.25235,13.851083333333333,5.91
5.567794444444444,-1.4701944444444446,5.92
5.9157472222222225,19.74961111111111,5.92
5.507269444444445,15.360555555555555,5.93
5.684886111111111,0.3376944444444444,5.93
5.776377777777777,1.1685277777777778,5.94
5.868813888888889,-9.041972222222222,5.95
5.643880555555555,-6.573944444444444,5.96
5.836961111111111,4.423500000000001,5.96
5.873169444444445,19.86786111111111,5.96
5.617875000000001,11.035055555555555,5.97
5.714975,-6.796305555555556,5.97
5.809694444444444,-4.094083333333333,5.97
5.8416749999999995,2.024722222222222,5.97
5.941122222222223,9.509416666666667,5.97
4.914086111111112,0.4671666666666667,5.98
5.388475000000001,-8.415583333333334,5.99
5.658652777777778,-3.564722222222222,5.99
5.912233333333334,0.9686111111111111,5.99
6.376783333333333,12.570305555555555,6.0
5.624266666666667,-5.938388888888889,6.03
4.812397222222222,3.5885555555555557,6.04
5.081813888888889,-3.0396666666666667,6.04
5.790805555555555,-10.532916666666667,6.04
6.191086111111112,13.63861111111111,6.04
6.261161111111111,6.066194444444444,6.07
5.225430555555556,1.9676944444444446,6.08
5.7505,4.008194444444444,6.09
6.056880555555555,11.681083333333333,6.09
5.089919444444444,1.177638888888889,6.1
4.86205,9.975083333333334,6.11
5.167572222222223,-0.5651944444444444,6.11
5.622030555555556,8.951888888888888,6.11
6.301558333333333,14.382861111111112,6.12
5.397591666666667,-0.8666111111111111,6.13
5.903708333333333,10.586416666666667,6.13
4.983169444444445,14.54325,6.14
5.12731111111111,9.472722222222222,6.15
5.255144444444444,-1.4090555555555555,6.15
5.543880555555555,0.011972222222222223,6.15
5.631497222222222,-4.814027777777778,6.16
5.429727777777778,0.5202500000000001,6.18
5.453861111111111,15.257666666666667,6.18
5.505530555555556,4.204861111111112,6.21
5.969916666666667,-0.9939722222222221,6.21
5.677025,-2.8252499999999996,6.22
5.965141666666667,1.2243055555555558,6.22
5.522469444444444,-6.708388888888889,6.23
5.182769444444444,-2.25375,6.24
5.433988888888889,-5.5184999999999995,6.24
5.567747222222222,-1.0357222222222224,6.24
5.589533333333333,-4.424333333333333,6.24
5.767461111111111,-4.268305555555555,6.24
6.311208333333333,9.047277777777778,6.24
4.954780555555556,-1.0671944444444443,6.25
5.574802777777777,-0.012333333333333333,6.25
5.926494444444445,-4.7885277777777775,6.28
4.863866666666667,13.655194444444446,6.3
5.904366666666667,3.225777777777778,6.3
6.424494444444445,14.722,6.3
5.011061111111111,-2.066027777777778,6.31
5.719255555555556,-1.6131666666666669,6.31
6.317180555555555,17.325277777777778,6.32
4.773375,-2.954388888888889,6.33
5.229791666666666,0.5604722222222223,6.33
5.326466666666667,-1.4118888888888887,6.33
5.4100277777777785,2.3531666666666666,6.33
5.505763888888889,-7.434805555555556,6.33
4.969694444444444,-2.212777777777778,6.34
5.391966666666667,5.323055555555555,6.34
5.476325,13.679027777777778,6.35
6.414655555555556,16.057222222222222,6.35
5.454277777777778,2.3411944444444446,6.36
6.183825000000001,18.130472222222224,6.37
6.2649944444444445,1.169,6.37
5.482475,-3.3074166666666667,6.39
