gmag,ra,dec,plx,bp_rp,lum_val,teff_val,radius_val
15.684173,58.45209641024671,23.485778193170404,3.4866299261260667,2.1924276,0.062332526,3797.0,0.57693756
7.4981666,55.930095532879015,25.0805015068784,8.027063450746246,0.18891335,,8337.333,
16.102013,57.17084229066591,23.237979114981755,8.509836138095356,3.116683,,3838.1667,
12.923352,56.99900482385139,24.731092856679197,6.493298083217951,1.5911531,0.15626729,4456.165,0.66322994
16.45421,55.86575939894856,24.270604215586683,2.6750747340243386,2.3462887,0.050943777,3830.01,0.51262337
17.576437,56.24788638293818,23.354886923847165,7.922717010815485,3.2170334,,,
18.08716,56.933602852954905,24.065484217996406,3.298008664972612,2.0310574,,,
12.179868,55.67669285857913,23.50264426061002,8.29417601215028,1.3694553,0.16585155,4861.035,0.574189
17.113106,54.989067330579694,23.328258444058307,8.294879839935328,3.1361294,,,
16.721306,55.33283510461802,25.113504736407634,8.240225718630805,2.951972,,4581.62,
14.584626,55.78654090030755,23.25183762506102,4.447532032901411,1.8732138,0.085902296,4112.1074,0.5774656
3.6412394,56.21900085855238,24.113139092719965,8.704054073446402,-0.088436365,,9329.667,
4.236967,56.30215999021132,24.467069848624895,8.969055820031802,-0.11660576,,9164.0,
18.33805,55.799085283972964,25.525408621467204,8.325765049009709,3.4552116,,,
15.031692,57.50659155519084,25.400299360376373,8.547721421020928,2.5932522,,3466.25,
4.090774,56.58166915528608,23.948150194852293,9.478144377901161,-0.02794981,,9145.333,
9.9920635,56.54194201255162,23.339798078375935,8.131807477293217,0.80635834,1.1342697,5775.0,1.0639148
9.312448,56.422574033237105,24.28839747922854,7.762786109484023,0.7296572,2.3001885,6020.8667,1.3938509
8.538714,56.552968962860604,23.128324661134517,12.674684102977416,0.75563335,1.7630941,5969.3335,1.2414771
10.568231,56.017790698518866,24.9896235104989,7.675576054490252,0.87180996,0.76424956,5518.0,0.9565482
8.005559,56.35902448304342,24.034951235343783,7.384428664141677,0.31556606,8.66476,7696.0,1.6557729
15.346717,55.8624419767268,24.452584367616947,6.182353940606552,2.757516,,4021.8826,
8.112242,56.10725619560783,24.394503667295428,7.9522911435718795,0.38979816,6.634721,7291.85,1.6139442
16.676153,56.51536128705478,25.87452490007649,7.984248962311634,3.0668116,,3642.9402,
16.824377,56.11465573429059,24.23791792464642,8.118984850366255,2.9782143,,4387.69,
13.302774,56.11385207609108,24.84376374321564,7.584187079369021,2.0216541,0.12242076,3744.6934,0.8312806
13.31963,57.03204486101981,25.315093199707636,7.607815272661129,1.7250109,0.08632085,4267.0,0.5376074
18.993423,56.70237978219463,23.165865324224516,7.407238056591665,3.5701103,,,
16.287066,57.48657862953137,25.372806267395163,8.654446967343581,2.7120495,,3847.32,
12.900635,56.116789536877434,24.171349848235792,8.992966129676228,1.6759357,0.091391325,4256.0,0.5560347
17.203575,55.4680666611647,24.69916622963567,8.032535154100824,3.1700697,,,
17.134892,57.91290232855274,23.36773673546943,8.236081363563608,3.1198816,,,
18.792948,56.09692029073386,25.6456622868512,8.34671238465436,3.956293,,,
